zpid,price_last_sold,date_last_sold,zipcode,city,street,year_built,lot_size,home_size,bathrooms,bedrooms,longitude,latitude,walkscore
35918716,1700000,8/31/16,30306,Atlanta,1261 Lanier Blvd NE,2006,13922,5550,4,5,-84.349208,33.789251,59
35906692,1700000,12/21/16,30327,Atlanta,4660 Paran Vly NW,1967,94960,6906,6,6,-84.401367,33.88266,11
35910932,1699000,3/1/17,30327,Atlanta,2864 Arden Rd NW,1951,30099,4559,6,5,-84.40918,33.833226,14
35906315,1676000,6/23/16,30327,Atlanta,465 Montwicke Chase,1997,43995,8008,7,5,-84.404608,33.887296,9
35918780,1661324,6/19/16,30306,Atlanta,908 Kings Ct NE,2015,9553,3970,4,5,-84.357381,33.78896,59
35908060,1650000,7/29/16,30305,Atlanta,314 Peachtree Battle Ave NW,1935,19201,3742,6,5,-84.398002,33.821358,42
35907911,1650000,6/16/16,30305,Atlanta,517 Manor Ridge Dr NW,1925,43560,3894,5,5,-84.404623,33.824044,13
35906649,1650000,5/4/16,30327,Atlanta,4655 Millbrook Dr NW,2000,44431,4900,5,5,-84.402372,33.882448,11
35897492,1650000,11/3/16,30309,Atlanta,1661 Friar Tuck Rd NE,1954,18730,5240,5,5,-84.378324,33.800031,57
65470028,1650000,6/15/16,30327,Atlanta,216 Londonberry Rd,2001,94089,14800,9,7,-84.396276,33.895113,7
35942236,1647514,7/22/16,30342,Atlanta,173 Laurel Forest Cir NE,2015,19906,4991,5,5,-84.382796,33.862213,51
2132564308,1647500,7/20/16,30305,Atlanta,2881 Peachtree Rd NE APT 2401,2001,0,4563,3,3,-84.383151,33.833107,81
65468089,1647500,7/20/16,30305,Atlanta,2881 Peachtree Rd NE APT 2601,2001,4565,4563,4,5,-84.38311,33.833169,81
35910931,1630000,8/31/16,30327,Atlanta,2870 Arden Rd NW,1940,30801,4500,6,4,-84.409094,33.833508,11
65442084,1630000,5/28/16,30305,Atlanta,447 Argonne Dr NW,2000,43124,5110,6,5,-84.401839,33.836477,13
35900155,1625000,10/14/16,30309,Atlanta,102 Brighton Rd NE,1925,9104,5100,7,5,-84.389755,33.809353,66
35906983,1605000,12/8/16,30342,Atlanta,541 King Rd NW,1958,37897,4642,6,4,-84.404277,33.863037,5
14651146,1600000,9/30/16,30022,Alpharetta,1000 Cherbury Ln,1994,130680,10804,7,7,-84.245856,34.012656,10
2102977793,1599900,8/1/16,30308,Atlanta,867 Peachtree St NE,2015,0,2092,3,2,-84.384243,33.778336,93
2096882266,1595000,2/15/17,30342,Atlanta,405 Pinecrest Rd NE,2016,0,5046,7,5,-84.374741,33.868688,51
35900182,1592000,11/4/16,30309,Atlanta,45 Brighton Rd NE,1925,12955,4012,7,4,-84.391856,33.808042,76
35896063,1585000,6/7/16,30305,Atlanta,160 Peachtree Way NE,1934,43560,4708,5,4,-84.381993,33.827638,50
35897879,1580000,10/11/16,30309,Atlanta,80 Westminster Dr NE,1912,23522,3556,4,4,-84.380058,33.791638,63
35917561,1577000,7/7/16,30327,Atlanta,1330 Draycott Pl NW,2000,18147,5211,7,5,-84.431979,33.833631,14
35920038,1566000,11/22/16,30327,Atlanta,3225 Paces Bend Ct NW,1984,87120,8342,7,6,-84.444656,33.843571,5
35910946,1561752,8/3/16,30327,Atlanta,2847 Castlewood Dr NW,2016,31581,4493,5,5,-84.41024,33.83344,11
35917180,1555600,5/6/16,30327,Atlanta,1476 Peachtree Battle Ave NW,2016,52010,5041,6,5,-84.435653,33.8268,4
35899813,1550000,8/31/16,30309,Atlanta,43 Huntington Rd NE,1923,10018,4052,4,4,-84.390913,33.802284,68
35906043,1550000,12/14/16,30327,Atlanta,5660 Glen Errol Rd NW,1981,43560,4760,7,4,-84.399506,33.910724,4
35906339,1540000,9/23/16,30327,Atlanta,355 Mount Paran Rd,2008,26301,5414,5,5,-84.399349,33.888522,14
65442083,1536500,11/10/16,30305,Atlanta,2925 Wyngate Dr NW,2002,31786,4500,5,6,-84.399851,33.834527,10
35912383,1525000,6/4/16,30327,Atlanta,875 Marseilles Dr,2010,46548,8299,8,6,-84.415079,33.914236,3
35913706,1525000,2/23/17,30327,Atlanta,1255 Mount Paran Rd NW,1991,87120,8585,8,5,-84.42013,33.871997,10
35915209,1520000,6/16/16,30327,Atlanta,50 Abington Ct NW,1987,18295,4678,6,5,-84.420228,33.826549,10
2098617081,1520000,7/10/16,30305,Atlanta,2611 Winslow Dr NE,1995,9021,5115,4,5,-84.38227,33.826271,50
88826920,1520000,11/29/16,30327,Atlanta,2641 Old Wesley Pl NW,2005,20991,6964,7,5,-84.422403,33.827916,13
65442023,1520000,12/14/16,30327,Atlanta,5151 Long Island Dr NW,2000,43560,8430,7,5,-84.393535,33.895967,10
35901993,1515000,10/17/16,30305,Atlanta,2855 Ramsgate NW,1966,20473,4164,5,4,-84.397392,33.832444,7
35901937,1505000,7/29/16,30305,Atlanta,2953 Habersham Rd NW,1930,35000,3609,2,3,-84.395798,33.835473,24
35897785,1500000,11/2/16,30309,Atlanta,137 The Prado NE,1925,12371,3975,5,5,-84.378086,33.793431,55
35930457,1500000,5/14/16,30306,Atlanta,776 San Antonio Dr NE,2015,14649,4500,5,6,-84.361425,33.789248,44
69379440,1500000,8/5/16,30327,Atlanta,375 Laurel Chase Ct,2006,26397,5377,6,6,-84.398315,33.887221,11
14314855,1500000,11/4/16,30339,Atlanta,2626 Orchard Run SE,1989,35501,5416,7,6,-84.475896,33.847903,2
35917156,1500000,3/10/17,30327,Atlanta,1460 Moores Mill Rd NW,1955,29010,6431,7,6,-84.435077,33.828735,5
35902277,1500000,6/7/16,30305,Atlanta,3201 Andrews Ct NW,1992,19794,6708,6,6,-84.38875,33.842559,59
35917218,1489000,4/27/16,30327,Atlanta,2636 Dobbs Cir NW,1998,26353,5553,5,4,-84.431247,33.827206,9
35921822,1485000,8/10/16,30327,Atlanta,2968 Rivermeade Dr NW,1972,53273,5297,6,5,-84.455971,33.836695,0
35914732,1485000,5/12/16,30327,Atlanta,3301 Rilman Rd NW,1985,28178,7136,6,6,-84.419069,33.845104,10
35918838,1482495,12/12/16,30306,Atlanta,1288 N Morningside Dr NE,2016,8999,4000,4,5,-84.352521,33.790106,63
35912241,1475000,2/28/17,30327,Atlanta,650 Idlewood Dr,2016,29185,2129,6,6,-84.408258,33.9049,3
35932046,1475000,10/18/16,30309,Atlanta,401 Beverly Rd NE,1988,43560,3532,5,4,-84.373794,33.796904,66
35920043,1475000,6/4/16,30327,Atlanta,2991 Sequoyah Dr NW,2007,21997,6167,6,5,-84.436835,33.836923,9
35921818,1470000,11/2/16,30327,Atlanta,2023 Rivermeade Way NW,1980,34455,4622,6,5,-84.45276,33.836395,1
35902280,1468500,8/9/16,30305,Atlanta,3233 Andrews Ct NW,1989,17859,5117,6,5,-84.388474,33.843389,59
35897811,1460000,2/28/17,30309,Atlanta,115 17th St NE,1919,9853,3576,4,4,-84.38288,33.792809,72
35925515,1460000,2/7/17,30306,Atlanta,1672 Merton Rd NE,1988,17990,4554,5,5,-84.355761,33.800524,42
35897360,1455000,4/22/16,30309,Atlanta,294 Camden Rd NE,1963,11147,4000,4,4,-84.384067,33.810822,38
35907824,1450000,3/20/17,30305,Atlanta,2667 Northside Dr NW,1998,30709,6136,6,6,-84.406924,33.827556,17
35895072,1445000,10/21/16,30306,Atlanta,910 Highland Ter NE,1930,8712,1748,2,3,-84.357589,33.786267,71
14316971,1445000,2/17/17,30339,Atlanta,3045 Paces Lake Ct SE,2003,28653,5192,6,5,-84.467092,33.857946,27
65447297,1445000,1/11/17,30022,Alpharetta,3925 Merriweather Woods,2001,39596,11585,10,6,-84.249223,34.015246,2
35897332,1440000,6/30/16,30309,Atlanta,265 Brighton Rd NE,1945,13050,3337,4,5,-84.385444,33.81079,45
35907712,1435000,6/10/16,30305,Atlanta,458 Argonne Dr NW,1941,37026,3488,5,5,-84.402478,33.835333,16
35917645,1424000,6/9/16,30327,Atlanta,3039 Margaret Mitchell Ct NW,2007,31272,6800,7,6,-84.427221,33.838176,31
35918581,1415000,6/30/16,30306,Atlanta,1371 Northview Ave NE,2007,9570,4064,6,6,-84.357906,33.792273,53
35907640,1415000,6/15/16,30305,Atlanta,2763 Ramsgate NW,1963,28313,4216,6,6,-84.397795,33.83009,18
35896056,1415000,6/17/16,30305,Atlanta,195 E Wesley Rd NE,2016,10018,5608,6,6,-84.381131,33.828369,50
35896347,1400000,12/16/16,30305,Atlanta,2520 Brookwood Dr NE,2016,19166,4291,5,5,-84.381216,33.823538,56
14316948,1400000,1/9/17,30339,Atlanta,2897 Knob Hill Dr SE,2005,43560,5496,5,4,-84.469801,33.854983,2
35906399,1400000,5/2/16,30327,Atlanta,5000 Powers Ferry Rd,2003,50965,6707,5,4,-84.40315,33.891844,8
35907798,1400000,10/28/16,30305,Atlanta,546 W Wesley Rd NW,1935,37461,8901,7,4,-84.405583,33.828128,13
14521013,1399000,3/10/17,30306,Atlanta,1382 Rock Springs Cir NE,2016,8250,4470,5,5,-84.34211,33.797047,23
35908020,1395000,6/15/16,30305,Atlanta,344 Manor Ridge Dr NW,1939,19645,2366,3,3,-84.399077,33.823263,23
35907569,1395000,4/13/17,30305,Atlanta,463 Chateau Dr NW,1961,23696,5064,5,5,-84.402809,33.843835,13
35906438,1391293,12/8/16,30327,Atlanta,4726 E Conway Dr NW,2015,25264,4877,6,5,-84.400555,33.884407,13
35927143,1390000,12/8/16,30306,Atlanta,1957 Lenox Rd NE,1955,29620,4556,2,5,-84.350061,33.80854,32
35880722,1387500,6/23/16,30308,Atlanta,821 Piedmont Ave NE,1891,12500,6214,7,6,-84.380925,33.777001,91
35942939,1385851,7/1/16,30305,Atlanta,3362 Valley Rd NW,1968,21889,3797,6,4,-84.384764,33.846382,49
35932951,1375000,3/29/17,30305,Atlanta,2775 Atwood Rd NE,1928,12850,4167,4,4,-84.370564,33.830331,56
35907415,1375000,9/9/16,30305,Atlanta,3100 E Pine Valley Rd NW,1970,30927,4352,4,4,-84.39929,33.83993,16
